"Pre-load",0.1,"N"
"Speed, flexure modulus",20,"mm/min"
"Test speed",20,"mm/min"
"Deformation","Standard force"
"mm","N"
0.953115,25.1889
0.956451,25.2797
0.959778,25.3689
0.963137,25.4627
0.96646,25.5516
0.969774,25.6486
0.973101,25.7379
0.976426,25.8276
0.979775,25.9182
0.983111,26.0077
0.986438,26.0931
0.989767,26.1783
0.993099,26.2687
0.996443,26.3546
0.999756,26.441
1.00308,26.5243
1.00641,26.6154
1.00975,26.7098
1.01309,26.8012
1.01643,26.8951
1.01977,26.9901
1.02311,27.0822
1.02647,27.1756
1.0298,27.2685
1.03311,27.3657
1.03643,27.4632
1.03976,27.5566
1.0431,27.6511
1.04645,27.745
1.04978,27.8341
1.05311,27.923
1.05645,28.0192
1.0598,28.1061
1.06312,28.1926
1.06644,28.2804
1.06976,28.3719
1.0731,28.4584
1.07645,28.5405
1.07977,28.628
1.08311,28.7162
1.08643,28.8038
1.08979,28.8899
1.09312,28.9779
1.09643,29.0704
1.09977,29.162
1.10307,29.2539
1.10642,29.3452
1.10976,29.4382
1.11309,29.5291
1.11643,29.624
1.11976,29.7171
1.12311,29.8079
1.12643,29.9022
1.12976,29.9948
1.1331,30.0893
1.13644,30.1826
1.13978,30.2756
1.1431,30.3674
1.14643,30.4593
1.14978,30.5492
1.15313,30.6423
1.15646,30.7357
1.15978,30.8262
1.16311,30.9134
1.16644,31.0017
1.16978,31.0854
1.17312,31.1766
1.17645,31.2691
1.17977,31.3558
1.18311,31.4399
1.18646,31.524
1.18977,31.6106
1.19309,31.7039
1.19642,31.7942
1.19977,31.8793
1.2031,31.9676
1.20642,32.0553
1.20975,32.1388
1.21309,32.2312
1.21644,32.329
1.21978,32.4182
1.2231,32.5065
1.22644,32.5921
1.22976,32.687
1.23311,32.7824
1.23645,32.8769
1.23978,32.9687
1.24311,33.0658
1.24644,33.155
1.24979,33.2412
1.25311,33.3326
1.25644,33.4254
1.25978,33.5178
1.26311,33.6019
1.26645,33.6894
1.26978,33.7777
1.27311,33.8651
1.27645,33.9528
1.27979,34.0412
1.28313,34.1289
1.28644,34.2164
1.28976,34.3019
1.29309,34.3898
1.29642,34.4786
1.29977,34.5681
1.30311,34.656
1.30642,34.7445
1.30975,34.829
1.3131,34.9199
1.31643,35.0101
1.31975,35.102
